Period (s),Length (m),Mass (kg),Angle (deg)
1.716,0.8,0.2668,10
1.676,0.8,0.2668,10
1.673,0.8,0.2668,10
1.695,0.8,0.2668,10
1.733,0.8,0.2668,10
1.691,0.8,0.2668,10
1.608,0.8,0.2668,10
1.709,0.8,0.2668,10
1.703,0.8,0.2668,10
1.724,0.8,0.2668,10
1.662,0.8,0.0846,10
1.705,0.8,0.0846,10
1.71,0.8,0.0846,10
1.715,0.8,0.0846,10
1.71,0.8,0.2917,10
1.722,0.8,0.2917,10
1.714,0.8,0.2917,10
1.669,0.8,0.2917,10
1.705,0.8,0.2917,10
1.721,0.8,0.2917,10
1.721,0.8,0.2917,10
1.717,0.8,0.2917,10
1.687,0.8,0.2917,10
1.676,0.8,0.2917,10
1.477,0.62,0.2917,10
1.475,0.62,0.2917,10
1.488,0.62,0.2917,10
1.497,0.62,0.2917,10
1.477,0.62,0.2917,10
1.477,0.62,0.2917,10
1.479,0.62,0.2917,10
1.532,0.62,0.2917,10
1.479,0.62,0.2917,10
1.491,0.62,0.2917,10
1.283,0.46,0.2917,10
1.28,0.46,0.2917,10
1.288,0.46,0.2917,10
1.263,0.46,0.2917,10
1.281,0.46,0.2917,10
1.297,0.46,0.2917,10
1.308,0.46,0.2917,10
1.269,0.46,0.2917,10
1.284,0.46,0.2917,10
1.271,0.46,0.2917,10
1.106,0.36,0.2917,10
1.105,0.36,0.2917,10
1.1,0.36,0.2917,10
1.109,0.36,0.2917,10
1.097,0.36,0.2917,10
1.091,0.36,0.2917,10
1.137,0.36,0.2917,10
1.101,0.36,0.2917,10
1.154,0.36,0.2917,10
1.126,0.36,0.2917,10
1.112,0.36,0.2917,20
1.162,0.36,0.2917,20
1.126,0.36,0.2917,20
1.086,0.36,0.2917,20
1.09,0.36,0.2917,20
1.124,0.36,0.2917,20
1.124,0.36,0.2917,20
1.122,0.36,0.2917,20
1.134,0.36,0.2917,20
1.152,0.36,0.2917,20
1.11,0.36,0.2917,30
1.206,0.36,0.2917,30
1.098,0.36,0.2917,30
1.112,0.36,0.2917,30
1.148,0.36,0.2917,30
1.104,0.36,0.2917,30
1.132,0.36,0.2917,30
1.13,0.36,0.2917,30
1.132,0.36,0.2917,30
1.152,0.36,0.2917,30
1.134,0.36,0.2917,45
1.174,0.36,0.2917,45
1.2,0.36,0.2917,45
1.178,0.36,0.2917,45
1.184,0.36,0.2917,45
1.21,0.36,0.2917,45
1.152,0.36,0.2917,45
1.178,0.36,0.2917,45
1.18,0.36,0.2917,45
1.168,0.36,0.2917,45
1.118,0.36,0.2917,60
1.196,0.36,0.2917,60
1.112,0.36,0.2917,60
1.07,0.36,0.2917,60
1.068,0.36,0.2917,60
1.074,0.36,0.2917,60
1.082,0.36,0.2917,60
1.192,0.36,0.2917,60
1.09,0.36,0.2917,60
1.076,0.36,0.2917,60
1.186,0.36,0.2917,90
1.186,0.36,0.2917,90
1.26,0.36,0.2917,90
1.218,0.36,0.2917,90
1.22,0.36,0.2917,90
1.236,0.36,0.2917,90
1.256,0.36,0.2917,90
1.236,0.36,0.2917,90
1.234,0.36,0.2917,90
1.256,0.36,0.2917,90